repetition,strategy_index,strategy,accuracy,queries_used,iterations,accuracy_per_question
7.0,7.0,S_EIG,0.52,11.0,6.0,0.04727272727272727
7.0,8.0,S_NEIG,0.6,12.0,7.0,0.049999999999999996
7.0,9.0,S_DU,0.5,8.0,3.0,0.0625
7.0,10.0,S_NDU,0.5,8.0,3.0,0.0625
7.0,11.0,S_DC,0.44,8.0,3.0,0.055
7.0,12.0,S_NDC,0.48,11.0,6.0,0.04363636363636363
8.0,0.0,random,0.74,13.0,8.0,0.05692307692307692
8.0,1.0,S_E,0.5,9.0,4.0,0.05555555555555555
8.0,2.0,S_NE,0.4,8.0,3.0,0.05
8.0,3.0,S_W,0.54,8.0,3.0,0.0675
8.0,4.0,S_NW,0.54,11.0,6.0,0.049090909090909095
8.0,5.0,S_B,0.66,9.0,4.0,0.07333333333333333
8.0,6.0,S_NB,0.6,10.0,5.0,0.06
8.0,7.0,S_EIG,0.5,10.0,5.0,0.05
8.0,8.0,S_NEIG,0.46,12.0,7.0,0.03833333333333334
